CONCEPTO,DEPARTAMENTO,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008_P,2008_R,2008_V,2008,2009_P,2009,2010_P ,2010,2011_P,2011_AD,2011,2012,2013_P,2013_V,2013,2014_P,2014_V,2014,2015_P,2015,2016_P,2016,2017_P,2017,2018_P,2018,2019_P,2019,2020_P
FONDO DE COMPENSACIÓN,LA PAZ,0,0,0,0,0,20.146447,44.162462,63.393254,63.023774,73.1449395,94.20090159,83.81211329,53.34024226,58.51246155,52.32666901,74.7767426,77.20465153,96.972622,,96.972622,96.97248075,0,10.14461647,75.193544,63.69990021,58.201062,0,110.77514454,82.77071628,90.763579,90.763579,90.24336902,80.411949,80.411949,80.16140019,86.298021,99.26669285,122.058022,122.058022,113.983864,104.889,124.404229,124.39194379,146.483989,141.73475226,123.386231
FONDO DE COMPENSACIÓN,COCHABAMBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.880089,21.025304,28.588604,,28.588604,24.405342,0,0,24.274645,22.627568,26.214389,0,40.897784,51.049531,41.767055,41.767055,41.519071,38.592243,38.592243,38.501272,44.587098,66.497942,73.448392,73.07969988,70.020579,69.39521059,78.157248,78.157248,92.683588,83.37828581,79.525621
FONDO DE COMPENSACIÓN,ORURO,0,0,0,0,0,0,0,0,0,0,0,2.4240846,0.574883,6.664457,2.74901,7.027442,0,,,0,0,0,0,,0,0,0,0,5.634033,0,0,5.14113755,8.273462,8.273462,0,9.912374,41.63572356,14.355194,14.355194,12.391293,11.243031,13.700089,0,16.977942,16.96386829,14.361865
FONDO DE COMPENSACIÓN,POTOSI,0,0,0,0,0,7.01249187,7.5512413,10.07304024,13.021603,14.86669688,21.40133084,29.70814258,17.14415,12.701872,10.928123,15.583806,3.180985,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
FONDO DE COMPENSACIÓN,TARIJA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
FONDO DE COMPENSACIÓN,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1.372782,0,8,29.235761,41.27751,,41.27751,40.477511,0,9.16171995,24.687152,24.3785596,22.918997,0,35.463504,52.8916646,35.275246,35.275246,35.19597,46.903214,46.903214,46.884714,36.3935,37.418463,50.064318,50.064318,64.361804,63.823085,34.765127,34.765127,27.760828,27.62174171,22.484127
FONDO DE COMPENSACIÓN,BENI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
FONDO DE COMPENSACIÓN,PANDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
IDH,CHUQUISACA,,,,,,,,,,,,,,,73.58675739,195.39970639,208.04196897,85.132737,38.413778,123.546515,125.84960656,106.079217,98.31646123,69.418819,102.71459033,107.310169,13.574977,137.10933783,184.6195142,145.33875,235.466055,236.8088124,160.766808,237.834911,237.83090574,197.817079,169.15730345,112.730386,82.66929614,76.865632,84.68074375,83.220218,102.43128623,104.069698,86.48874127,83.937227
IDH,LA PAZ,,,,,,,,,,,,,,,113.15146532,195.5292526,211.75431057,85.132737,38.413778,123.546515,114.22432159,106.079217,98.31645904,69.418819,102.71460676,107.310169,13.574977,137.10935272,184.61952688,145.33875,235.466055,236.80881245,160.766808,237.834911,237.83090566,197.817079,169.1573037,112.730386,82.66929608,76.865632,84.68074375,83.220218,102.43128626,104.069698,86.4887412,83.937227
