CONCEPTO,DEPARTAMENTO,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008_P,2008_R,2008_V,2008,2009_P,2009,2010_P ,2010,2011_P,2011_AD,2011,2012,2013_P,2013_V,2013,2014_P,2014_V,2014,2015_P,2015,2016_P,2016,2017_P,2017,2018_P,2018,2019_P,2019,2020_P
REGALIAS FORESTALES,SANTA CRUZ,0,0,0,0,0,0.5208109,0.25559554,8.8,5.13361873,1.74562962,3.46882535,2.80245269,0,2.53413015,3.29264358,5.02127742,4.20881683,3.701931,,3.701931,4.334558,4.13944,3.89055463,3.718786,4.47034957,4.084857,0,3.1539294,3.67736747,3.316973,3.316973,4.07439577,3.839907,3.839907,2.46924581,3.989374,5.90076876,3.803146,7.24818433,3.523266,6.14711411,4.748501,5.40887832,4.748501,10.51155222,4.579963
REGALIAS FORESTALES,BENI,0,0,0,0,0,0.02622671,0.49480852,0,1.22173305,0.88192403,1.11473748,0.46940022,1.14667346,1.31059991,0.96161991,0.89644567,1.06212815,0.784572,,0.784572,0.3113749,1.015641,0.65174138,1.054156,0.39884964,1.082116,0,0.82438316,0.84676405,1.332638,1.332638,0.9034811,1.493722,1.493722,0.50145354,1.498594,1.00607168,1.378892,0.56968813,1.088073,0.77870695,0.722433,0.70866639,0.722433,0.42702378,0.600063
REGALIAS FORESTALES,PANDO,0,0,0,0,0,0.61398836,0.0870075,0,2.50559141,1.56327247,1.43271538,1.82883109,0,0,0,0,1.48542136,1.587245,,1.587245,0.99085124,1.526773,1.13339778,1.42306,1.61669351,1.459405,0,1.15532586,1.05634071,1.310339,1.310339,1.43010692,1.396443,1.396443,0.99943168,1.360404,1.32807497,1.204578,1.27316411,0.862287,1.17264995,1.175487,1.53359707,1.175487,2.62406214,1.298572
TOTAL TRANSFERENCIAS,CHUQUISACA,2.4055819,3.4806188,6.07375675,2.1509063,0,43.96709212,39.32722214,41.19044424,46.59622172,66.63951402,67.02114029,53.87940182,52.29768715,76.50211197,149.67258319,308.85833436,336.7362677,236.407044,84.764389,321.171433,315.1004863873,235.721854,251.7537392596,164.052143,250.6201810397,266.23823,19.980604,328.7553952906,463.83171906,380.414639,818.127795,827.01776538,563.942816,891.731779,899.84236798,653.228974,678.5742889,427.533,406.5564504,376.654199,421.2733209,404.801726,517.84174878,543.749541,430.67923871,411.216182
TOTAL TRANSFERENCIAS,LA PAZ,2.4055819,3.4806188,6.07375675,2.1509063,0,57.82033548,89.40078052,116.53509101,121.83640391,143.1872842,158.53798772,151.53833003,109.042949,121.41129089,253.29635663,381.94041392,456.01983913,314.824723,38.413778,353.238501,365.04971086,134.341084,165.35668036,240.051279,265.09738199,253.123944,13.574977,416.0795359,372.10630555,360.699745,496.246596,501.91799426,373.428169,615.957186,624.90768097,419.052318,516.20836988,463.476013,464.61227451,417.62317,513.57174664,445.766044,508.91328631,515.006065,516.6065646,449.22822
TOTAL TRANSFERENCIAS,COCHABAMBA,2.4055819,3.4806188,6.07375675,2.1509063,0,86.5881425,97.86210405,94.57442959,112.67067165,170.49919638,178.4413822,174.80763887,211.80392036,278.84028841,348.23198816,508.13351152,572.98357205,430.32967,151.609271,581.938941,490.3243827224,389.940944,362.7631128492,334.650964,376.6764242186,340.946468,32.635081,486.2063203119,555.22896024,457.682195,618.556466,618.2711221,497.216837,588.21175,582.36192828,531.292864,478.94072438,386.056094,348.22173218,328.82951,357.95424881,342.340362,391.00946708,395.991656,337.12782756,334.762716
TOTAL TRANSFERENCIAS,ORURO,2.4055819,3.4806188,6.07375675,2.1509063,0,31.53480867,48.17507256,48.53263061,52.39106586,57.06244985,54.89912969,59.56162198,47.59486245,55.20070661,192.25039316,360.27277378,391.47967294,234.219638,38.413778,272.633416,260.16296099,222.975763,187.32174542,204.541095,237.34105145,238.530002,13.574977,335.29001305,347.49163284,276.703681,406.647758,383.94606012,308.533611,388.654596,383.87878999,350.601366,339.67823208,252.049635,219.7270808,208.010681,242.82540794,220.216101,243.81045026,260.713237,219.06786833,218.610289
TOTAL TRANSFERENCIAS,POTOSI,2.4055819,3.4806188,6.07375675,2.1509063,0,31.87608558,50.19731306,48.08144487,56.12067456,67.17869692,64.26080598,73.30273302,57.42016832,67.38917704,211.43917031,457.85646078,571.9968645,617.026434,38.413778,655.440212,567.16952913,547.822284,500.58365521,478.231922,685.33459393,730.700545,13.574977,964.68686043,846.81114986,661.956236,752.083541,791.53357794,687.943988,856.380021,872.93210398,738.59481,688.24971294,642.230825,628.25644003,565.148939,842.72803915,644.87293,864.83918525,761.969738,747.45346384,709.337911
TOTAL TRANSFERENCIAS,TARIJA,2.4055819,3.4806188,6.07375675,2.1509063,0,51.13129611,55.15792807,47.90294573,44.4626442,73.34350343,117.48568959,159.92638802,311.58756592,543.19080775,1113.61210797,1568.72701153,1669.3958775,1400.988174,616.298754,2017.286928,1632.550393066,1700.671177,1637.15936858442,1131.56609,1773.6667765839,1861.026772,180.803973,2181.9719553988,3221.1381012,2558.760042,3802.139912,3814.93517829,2784.775024,3926.08126,3982.81355317455,3286.455551,2800.83962147,1848.940272,1505.09476095,1454.141582,1146.04368838,806.368851,913.74019109,942.25953695,743.66805478,749.53625715
TOTAL TRANSFERENCIAS,SANTA CRUZ,2.4055819,3.4806188,6.07375675,2.1509063,0,107.40412461,116.1810442,125.08926854,126.00652754,206.65720289,227.01706622,226.11879971,250.11793525,276.83850288,395.24551336,598.91908834,680.91422239,548.025482,179.015455,727.040937,619.4603997746,565.752521,519.9942538154,500.350728,595.1928982791,637.449658,86.514386,865.5187165441,1245.048759365,841.015625,1346.204878,1384.02246177,814.783249,1380.231253,1402.25708388,1177.252529,1072.64242757,862.243692,645.99992543,633.750651,947.45133773,852.050477,1195.17429351,1099.42023,951.00172881,939.477298
TOTAL TRANSFERENCIAS,BENI,2.4055819,3.4806188,6.07375675,2.1509063,0,27.46653538,24.72266362,30.36104811,34.40075194,52.28180649,52.31725732,53.2041972,62.38002677,82.19675989,232.34720271,340.3947572,374.9256364,236.150104,91.053634,327.203738,284.9772388409,252.0399427,246.3521393544,191.47088,265.4411944594,276.892447,29.60553,356.1271475417,473.00989872,379.148066,587.839058,591.40341617,415.406695,628.271721,635.64017278,503.676279,475.60798482,330.370735,296.66469395,266.900388,318.40462426,283.27843,395.69716364,355.392706,364.06968335,340.385411
TOTAL TRANSFERENCIAS,PANDO,2.4055819,3.4806188,6.07375675,2.1509063,0,17.4698802,20.3023261,18.66194154,24.69599878,31.58700943,33.10358219,33.9993981,35.84937111,68.10119051,178.75861947,274.79793107,304.74908085,170.690716,64.663455,235.354171,210.4911248843,180.09418,176.3603303475,138.085485,190.7874171247,198.658527,21.590263,258.398127905,335.5952774,271.521561,420.930709,422.84377399,298.657208,431.071284,435.95987155,361.450109,326.52414646,231.446522,188.00934888,177.840175,200.1775515,188.665236,231.93500626,230.891814,186.8823271,187.472989
